StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,BDD_Score
3/4/2022 18:24,3/4/2022 18:26,IP Address,100,160,TRUE,3/4/2022 18:26,R_3QY85ifF1bURKzw,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Slightly unattractive,Not at all distressing,Never avoid,Not at all preoccupied,Not at all,Not at all,Slightly,Slightly,"Instagram,Snapchat,YouTube",<3 hrs/day,YouTube,"Video games ,Technology and smartphones,Politics",No,No,NA,21-24,Senior,Male,He/him,24
3/4/2022 18:26,3/4/2022 18:30,IP Address,100,221,TRUE,3/4/2022 18:30,R_rcFhBtwgcczvHxf,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 20 times or more a day,Moderately unattractive,Markedly distressing,Avoid about ¾ of the time,Very preoccupied,Slightly,Slightly,Moderately,Slightly,"Instagram,Facebook,Snapchat,Pinterest,YouTube",3 - 10 hrs/day,YouTube,"Music, songs, movies,Nutrition, food, cooking,Video games ,Art",No,Yes,"Mockery,Insult or abuse,Bullying,Threats or defamation,Incitement to do immoral acts ,Others",21-24,Junior,"Female,Non-binary / third gender",She/They,8
3/4/2022 18:30,3/4/2022 18:34,IP Address,100,232,TRUE,3/4/2022 18:34,R_bEDJRjur1PY0VuF,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Moderately unattractive,Slightly distressing,Avoid about ¼ of the time,Very preoccupied,Markedly,Not at all,Slightly,Slightly,"Facebook,YouTube,TikTok",10 - 20 hrs/day,Facebook,"Video games ,Technology and smartphones,Travel and tourism",No,No,NA,21-24,Other,Male,He/Him,34
3/5/2022 21:12,3/5/2022 21:17,IP Address,100,320,TRUE,3/5/2022 21:17,R_BLD8PAFCXML7neV,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 10 times or more a day,Markedly unattractive,Slightly distressing,Avoid about ¾ of the time,Very preoccupied,Slightly,Not at all,Moderately,Slightly,"Instagram,Snapchat,Pinterest,YouTube",3 - 10 hrs/day,"Instagram,YouTube","Fashion related,Body health/Fitness, Beauty,Music, songs, movies,Video games",Yes,No,NA,21-24,Senior,Female,she/her,28
3/7/2022 7:23,3/7/2022 7:25,IP Address,100,142,TRUE,3/7/2022 7:25,R_2w7FvS573LLeAgp,anonymous,EN,1,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Not at all unattractive,Slightly distressing,Avoid about ¼ of the time,Slightly preoccupied,Slightly,Not at all,Not at all,Not at all,"Instagram,Facebook,Snapchat,YouTube",<3 hrs/day,Facebook,"Body health/Fitness, Beauty,Nutrition, food, cooking,Religion related,Travel and tourism ,Politics,Art,Sex and sex education",No,No,NA,18-20,Junior,Female,she/her,32
3/7/2022 21:50,3/7/2022 21:54,IP Address,100,230,TRUE,3/7/2022 21:54,R_295phqNDia5MEyl,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 40 times or more a day,Slightly unattractive,Moderately distressing,Never avoid,Very preoccupied,Markedly,Not at all,Slightly,Mostly,"Instagram,Snapchat,TikTok",3 - 10 hrs/day,TikTok,"Fashion related,Body health/Fitness, Beauty,Music, songs, movies,Video games ,Shopping,Technology and smartphones,Travel and tourism ,Business and economy",Yes,Yes,Incitement to do immoral acts,18-20,Sophomore,Female,She/her,10
3/7/2022 23:30,3/7/2022 23:34,IP Address,100,273,TRUE,3/7/2022 23:34,R_RfXfx5csNYi2rWF,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Moderately unattractive,Slightly distressing,Never avoid,Slightly preoccupied,Moderately,Not at all,Slightly,Slightly,"Instagram,Snapchat,YouTube,TikTok",<3 hrs/day,"Instagram,Snapchat","Body health/Fitness, Beauty,Music, songs, movies,Video games ,Sports news and competition,Technology and smartphones,Travel and tourism",No,No,NA,18-20,Sophomore,Male,He,34
3/14/2022 11:11,3/14/2022 11:16,IP Address,100,261,TRUE,3/14/2022 11:16,R_1jd0SEkzWANk2yk,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 20 times or more a day,Markedly unattractive,Slightly distressing,Avoid about half of the time,Slightly preoccupied,Moderately,Slightly,Slightly,Moderately,"Instagram,YouTube,TikTok",3 - 10 hrs/day,YouTube,"Music, songs, movies,Nutrition, food, cooking,Video games ,Technology and smartphones,Art",No,No,NA,21-24,Senior,Male,he/they,18
3/14/2022 15:42,3/14/2022 15:46,IP Address,100,212,TRUE,3/14/2022 15:46,R_2VmPYlUCVeqOvU6,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 20 times or more a day,Moderately unattractive,Moderately distressing,Never avoid,Moderately preoccupied,Moderately,Not at all,Not at all,Moderately,"Instagram,YouTube",3 - 10 hrs/day,YouTube,"Music, songs, movies,Video games ,Sports news and competition,Politics,Art",No,No,NA,18-20,Sophomore,Male,He/Him,None
3/14/2022 15:44,3/14/2022 15:47,IP Address,100,195,TRUE,3/14/2022 15:47,R_31pl9VNHtRmgR4N,anonymous,EN,0.899999976,I am over 18 years old and I consent to participating in this research project,About 5 times or more a day,Moderately unattractive,Moderately distressing,Avoid about half of the time,Moderately preoccupied,Not at all,Not at all,Moderately,Moderately,"Instagram,Facebook,Snapchat,YouTube",3 - 10 hrs/day,Instagram,"Celebrities,Fashion related,Body health/Fitness, Beauty,Nutrition, food, cooking,Shopping,Technology and smartphones,Travel and tourism ,Art",Yes,No,NA,18-20,Sophomore,Female,She/Her,26
